Data;Sklep;Kategoria;Produkt;Ilość; Cena za szt ;Ilość ml|g | cm;Ilość w opakowaniu; Zwrot ; Dostawa ;Link; Komentarz 
17.05.2022;Rossmann;Ubrania;Okulary przeciwsłoneczne;1;29,99 zł;;;;;;   
21.05.2022;Kaufland;Żywność;Ziemniaki 5kg;2;9,51 zł;5000;;;;;   
21.05.2022;www.beststore.pl;Komputer;Obudowa - Be quiet! Pure Base 500 BG034 czarna;1;378,99 zł;;;;;https://beststore.pl/be-quiet-obudowa-pure-base-500-bg034-czarna-p322158.html;   
21.05.2022;www.foxkomputer.pl;Komputer;Karta graficzna - Asus GTX 1650 TUF GAMING 4GB GDDR6;1;1 079,99 zł;;;;;https://foxkomputer.pl/pl/p/Karta-graficzna-Asus-GTX-1650-TUF-GAMING-4GB-GDDR6-TUF-GTX1650-4GD6-GAMING-/16709;   
21.05.2022;www.foxkomputer.pl;Komputer;Płyta główna - ASUS TUF GAMING B450M-PLUS II;1;309,99 zł;;;;;https://foxkomputer.pl/pl/p/Plyta-glowna-ASUS-TUF-GAMING-B450M-PLUS-II-TUF-GAMING-B450M-PLUS-II-PROMOCJA-FOXKOMPUTER/19845;   
21.05.2022;www.lemonti.pl;Komputer;NVME - Dysk SSD Samsung 980 1 TB M.2 2280 PCI-E x4 Gen3 NVMe;1;495,00 zł;;;;;https://www.lemonti.pl/Dysk-SSD-Samsung-980-1-TB-M-2-2280-PCI-E-x4-Gen3-NVMe-p112;   
21.05.2022;www.mediaexpert.pl;Komputer;RAM G.SKILL 16GB 2666MHz - 2 moduły;2;143,14 zł;;;;;https://www.mediaexpert.pl/komputery-i-tablety/podzespoly-komputerowe/pamieci-ram/pamiec-ddr4-g-skill-value-16gb-2x8gb-2666mhz-cl19-1-2v;   
21.05.2022;www.mocnykomputer.pl;Komputer;Procesor AMD Ryzen 5 5600X;1;995,00 zł;;;;;https://mocnykomputer.pl/pl/p/Procesor-AMD-Ryzen-5-5600X-3.7GHz-MPK-na-stanie-24h-/32136;   
26.05.2022;Kaufland;Prezent;Kwiaty dla mamy;1;21,99 zł;;;;;;   
28.05.2022;Allegro;Majsterkowanie;Plastikowe Półkole Krawieckie;1;18,98 zł;;;;;;   
28.05.2022;Allegro;Majsterkowanie;Torebki strunowe 100szt;1;10,88 zł;;100;;;;   
07.06.2022;GooglePlay;Subskrypcje;Bold Beast Premium (Nagrywanie rozmów);1;44,99 zł;;;;;;   
07.06.2022;GooglePlay;Subskrypcje;Nova Launcher Premium;1;19,00 zł;;;;;;   
18.06.2022;Kaufland - Rossmann;Higiena;Isana Professional olejek do włosów Pitaja 100ml;1;14,99 zł;100;;;;; Starczył mniej wiecej na 7.5 miesiąca 
18.06.2022;Kaufland - Rossmann;Higiena;Wsuwki do włosów;1;3,39 zł;;;;;; Z ciekawości na przydługie włosy 
18.06.2022;Kaufland - Super Office;Majsterkowanie;Nożyczki biurowe;1;24,99 zł;;;;;;   
21.06.2022;Fryzjer;Fryzjer;Fryzjer Amaro;1;45,00 zł;;;;;;   
22.06.2022;Lewiatan;Żywność;Paluszki solone lubella | 275g;1;3,59 zł;275;;;;;   
22.06.2022;Lewiatan;Żywność;Tymbark pomarańcza brzoskwinia 2L;1;3,99 zł;2000;;;;;   
24.06.2022;Kaufland;Higiena;Listerine płyn do ust;1;16,99 zł;;;;;;   
24.06.2022;Kaufland;Żywność;Czekoladowe ciastka;1;3,59 zł;200;;;;;   
24.06.2022;Kaufland;Żywność;Knopersy | 200g;1;8,56 zł;200;;;;;   
24.06.2022;Kaufland;Żywność;Napój Nestea brzoskwinia 1.5L;1;3,80 zł;1500;;;;;   
24.06.2022;Kaufland - Action;Żywność;Gumy do żucia Frezzh;1;6,68 zł;;;;;;   
24.06.2022;Kaufland - Apteka;Leki;Plastry różne rodzaje;1;9,99 zł;;;;;;   
24.06.2022;Kaufland - Kodak ;Usługi;Zdjęcie do studiów;1;37,00 zł;;;;;;   
24.06.2022;LSS Społem;Żywność;Pączek;2;2,75 zł;;;;;;   
24.06.2022;LSS Społem;Żywność;Twix;1;3,20 zł;;;;;;   
07.07.2022;Lewiatan;Żywność;Lody - Nogger;1;4,79 zł;;;;;;   
10.07.2022;Olimp - Multikino;Kino;Bilet na Thor'a;1;16,30 zł;;;;;;   
15.07.2022;McDonald's - Olimp;Żywność;Okazyeah - 9 nuggetsów z frytkami;1;16,00 zł;;;;;;   
18.07.2022;Biedronka - Orkana;Żywność;Salami Klasyczne - Kraina Wędlin 160g;2;4,49 zł;160;18;;;;   
18.07.2022;Galeria Orkana - Rossmann;Higiena;Szampon Nivea Men - Sensitive 500ml;5;12,49 zł;500;;;;; Podrożały!!! 
18.07.2022;Kaufland;Alkohol;Wódka Stock 0.7l;1;37,99 zł;700;;;;;   
18.07.2022;Kaufland;Żywność;Chipsy duszki;1;6,89 zł;150;;;;;   
18.07.2022;Kaufland;Żywność;Chipsy lejsy;1;5,29 zł;180;;;;;   
18.07.2022;Kaufland;Żywność;Twix 50g;2;2,09 zł;50;;;;;   
18.07.2022;Media Expert;Rower;Uchwyt na telefon do roweru BECOOL BC-B708 Czerwony;1;37,98 zł;;;;;;   
20.07.2022;Impreza;Imprezy;Składka;1;20,00 zł;;;;;;   
20.07.2022;Kajaki;Wycieczki;Kajaki - Zamość;1;50,00 zł;;;;;;   
12.08.2022;Allegro;Ubrania;Czapka bejsbolówka bawełniana z daszkiem;1;26,99 zł;;;;;;   
13.08.2022;Fryzjer;Fryzjer;Fryzjer Tomek;1;25,00 zł;;;;;;   
17.08.2022;Allegro;Komputer;POKROWIEC SIEDZISKO CZARNY WELUR 40x40cm ELASTYCZNY;1;28,98 zł;;;;;;   
18.08.2022;Allegro;Rower;Manetki przerzutki 3x7 gripshift revoshift chwyty;1;58,89 zł;;;;;;   
20.08.2022;UAM;Imprezy;Bilet na Integrację studencką;1;32,10 zł;;;;;;   
22.08.2022;Decathlon;Ubrania;Kąpielówki Nabaiji r.38;1;19,99 zł;;;;;;   
22.08.2022;Decathlon;Ubrania;Skarpety RS 500 Artengo 35/38;1;24,99 zł;;;;;;   
25.08.2022;Decathlon;Ubrania;Kąpielówki Nabaiji r.38;1;19,99 zł;;;;;;   
25.08.2022;Decathlon;Ubrania;Skarpety RS 500 Artengo 35/38;1;29,99 zł;;;;;;   
25.08.2022;Obi;Komputer;Złączka RJ45;1;4,49 zł;;;;;;   
04.09.2022;Bełżyce;Żywność;Lody 3 gałki;1;12,00 zł;;3;;;;   
11.09.2022;Książka;Książki;"""Znajdź mieszkanie poniżej wartości rynkowej"" - Filip Kowarski";1;19,00 zł;;;;;;   
15.09.2022;Kaufland;Higiena;Gąbka do ciała;1;2,99 zł;;;;;;   
15.09.2022;Kaufland - Action;Higiena;Elektryczna szczoteczka do zębów OptiSmile;1;44,95 zł;;;;;;   
15.09.2022;Kaufland - Action;Higiena;OptiSmile proszek do wybielania zębów;1;5,45 zł;;;;;;   
15.09.2022;Kaufland - Apteka;Higiena;Elmex żel do fluoryzacji;1;29,90 zł;;;;;;   
15.09.2022;Kaufland - Rossmann;Higiena;FUSSWOHL krem z łoju jelenia;1;7,49 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Kombinerki uniwesalne;1;22,99 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Miarka OBI 5m;1;15,00 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Pensety;1;1,98 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Pistolet do kleju na gorąco;2;15,00 zł;;;;;;   
15.09.2022;UAM;Studia;Opłata za legitymację studencką;1;22,00 zł;;;;;;   
21.09.2022;Weterynarz Krzysztof Stachurski;Pies;Szczepienie na wściekliznę;1;45,00 zł;;;;;; Rok wcześniej było 35 
24.09.2022;Action;Zakupy;Deska do krojenia;1;17,95 zł;;;;;;   
24.09.2022;Action;Zakupy;Termos/dzbanek 1L Redstone;1;22,49 zł;;;;;;   
24.09.2022;RTV EURO AGD;Higiena;Elektryczna szczoteczka do zębów Oral-B Pro 1 750 Braun;1;149,00 zł;;;;;;   
29.09.2022;Biedronka;Higiena;Papier Toaletowy;1;12,99 zł;;;;;;   
29.09.2022;Biedronka;Higiena;Patyczki do uszu Be Beauty 200szt;1;2,85 zł;;200;;;;   
29.09.2022;Biedronka;Środki czystości;Ścierka z mikrofibry;1;3,75 zł;;;;;;   
29.09.2022;Biedronka;Środki czystości;Worki na śmieci;1;4,99 zł;;;;;;   
29.09.2022;Jakdojade;Usługi;Doładowanie Jakdojade;1;12,00 zł;;;;;;   
30.09.2022;Bolt;Usługi;Bolt;1;6,76 zł;;;;;;   
01.10.2022;Atos Zoo;Modliszka;Świerszcz + opakowanie;1;0,95 zł;;;;;;   
02.10.2022;Jakdojade;Usługi;Doładowanie Jakdojade;1;21,00 zł;;;;;;   
02.10.2022;K2 Pizzeria;Żywność;Pizza średnia capriciosa (po połowie);1;28,25 zł;;;;;;   
02.10.2022;Żabka;Żywność;Kawa;1;8,99 zł;;;;;;   
03.10.2022;Allegro;Komputer;Organizer do kabli;2;9,90 zł;;;;;;   
03.10.2022;Allegro;Majsterkowanie;Super Glue;1;4,99 zł;;;;;;   
03.10.2022;Allegro;Majsterkowanie;Taśma dwustronna;1;4,95 zł;;;;;;   
03.10.2022;Allegro;Ubrania;Chusta wielofunkcyjna komin bandana elastyczna;1;43,99 zł;;;;;;   
03.10.2022;Allegro;Zakupy;Golarka do ubrań;1;4,89 zł;;;;;;   
03.10.2022;Allegro;Zakupy;Łyżka do butów;1;9,99 zł;;;;;;   
03.10.2022;Allegro;Zakupy;Mata Łazienkowa ;1;38,98 zł;;;;;;   
