Data;Sklep;Kategoria;Produkt;Ilość; Cena za szt ;Ilość ml|g | cm;Ilość w opakowaniu; Zwrot ; Dostawa ;Link; Komentarz 
21.05.2022;www.lemonti.pl;Komputer;NVME - Dysk SSD Samsung 980 1 TB M.2 2280 PCI-E x4 Gen3 NVMe;1;495,00 zł;;;;;https://www.lemonti.pl/Dysk-SSD-Samsung-980-1-TB-M-2-2280-PCI-E-x4-Gen3-NVMe-p112;   
21.05.2022;www.mediaexpert.pl;Komputer;RAM G.SKILL 16GB 2666MHz - 2 moduły;2;143,14 zł;;;;;https://www.mediaexpert.pl/komputery-i-tablety/podzespoly-komputerowe/pamieci-ram/pamiec-ddr4-g-skill-value-16gb-2x8gb-2666mhz-cl19-1-2v;   
21.05.2022;www.mocnykomputer.pl;Komputer;Procesor AMD Ryzen 5 5600X;1;995,00 zł;;;;;https://mocnykomputer.pl/pl/p/Procesor-AMD-Ryzen-5-5600X-3.7GHz-MPK-na-stanie-24h-/32136;   
26.05.2022;Kaufland;Prezent;Kwiaty dla mamy;1;21,99 zł;;;;;;   
28.05.2022;Allegro;Majsterkowanie;Plastikowe Półkole Krawieckie;1;18,98 zł;;;;;;   
28.05.2022;Allegro;Majsterkowanie;Torebki strunowe 100szt;1;10,88 zł;;100;;;;   
07.06.2022;GooglePlay;Subskrypcje;Bold Beast Premium (Nagrywanie rozmów);1;44,99 zł;;;;;;   
07.06.2022;GooglePlay;Subskrypcje;Nova Launcher Premium;1;19,00 zł;;;;;;   
18.06.2022;Kaufland - Rossmann;Higiena;Isana Professional olejek do włosów Pitaja 100ml;1;14,99 zł;100;;;;; Starczył mniej wiecej na 7.5 miesiąca 
18.06.2022;Kaufland - Rossmann;Higiena;Wsuwki do włosów;1;3,39 zł;;;;;; Z ciekawości na przydługie włosy 
18.06.2022;Kaufland - Super Office;Majsterkowanie;Nożyczki biurowe;1;24,99 zł;;;;;;   
21.06.2022;Fryzjer;Fryzjer;Fryzjer Amaro;1;45,00 zł;;;;;;   
22.06.2022;Lewiatan;Żywność;Paluszki solone lubella | 275g;1;3,59 zł;275;;;;;   
22.06.2022;Lewiatan;Żywność;Tymbark pomarańcza brzoskwinia 2L;1;3,99 zł;2000;;;;;   
24.06.2022;Kaufland;Higiena;Listerine płyn do ust;1;16,99 zł;;;;;;   
24.06.2022;Kaufland;Żywność;Czekoladowe ciastka;1;3,59 zł;200;;;;;   
24.06.2022;Kaufland;Żywność;Knopersy | 200g;1;8,56 zł;200;;;;;   
24.06.2022;Kaufland;Żywność;Napój Nestea brzoskwinia 1.5L;1;3,80 zł;1500;;;;;   
24.06.2022;Kaufland - Action;Żywność;Gumy do żucia Frezzh;1;6,68 zł;;;;;;   
24.06.2022;Kaufland - Apteka;Leki;Plastry różne rodzaje;1;9,99 zł;;;;;;   
24.06.2022;Kaufland - Kodak ;Usługi;Zdjęcie do studiów;1;37,00 zł;;;;;;   
24.06.2022;LSS Społem;Żywność;Pączek;2;2,75 zł;;;;;;   
24.06.2022;LSS Społem;Żywność;Twix;1;3,20 zł;;;;;;   
07.07.2022;Lewiatan;Żywność;Lody - Nogger;1;4,79 zł;;;;;;   
10.07.2022;Olimp - Multikino;Kino;Bilet na Thor'a;1;16,30 zł;;;;;;   
15.07.2022;McDonald's - Olimp;Żywność;Okazyeah - 9 nuggetsów z frytkami;1;16,00 zł;;;;;;   
18.07.2022;Biedronka - Orkana;Żywność;Salami Klasyczne - Kraina Wędlin 160g;2;4,49 zł;160;18;;;;   
18.07.2022;Galeria Orkana - Rossmann;Higiena;Nivea Men;5;12,49 zł;;;;;; Podrożały!!! 
18.07.2022;Kaufland;Alkohol;Wódka Stock 0.7l;1;37,99 zł;700;;;;;   
18.07.2022;Kaufland;Żywność;Chipsy duszki;1;6,89 zł;150;;;;;   
18.07.2022;Kaufland;Żywność;Chipsy lejsy;1;5,29 zł;180;;;;;   
18.07.2022;Kaufland;Żywność;Twix 50g;2;2,09 zł;50;;;;;   
18.07.2022;Media Expert;Rower;Uchwyt na telefon do roweru BECOOL BC-B708 Czerwony;1;37,98 zł;;;;;;   
20.07.2022;Impreza;Imprezy;Składka;1;20,00 zł;;;;;;   
20.07.2022;Kajaki;Wycieczki;Kajaki - Zamość;1;50,00 zł;;;;;;   
12.08.2022;Allegro;Ubrania;Czapka bejsbolówka bawełniana z daszkiem;1;26,99 zł;;;;;;   
13.08.2022;Fryzjer;Fryzjer;Fryzjer Tomek;1;25,00 zł;;;;;;   
17.08.2022;Allegro;Komputer;POKROWIEC SIEDZISKO CZARNY WELUR 40x40cm ELASTYCZNY;1;28,98 zł;;;;;;   
18.08.2022;Allegro;Rower;Manetki przerzutki 3x7 gripshift revoshift chwyty;1;58,89 zł;;;;;;   
20.08.2022;UAM;Imprezy;Bilet na Integrację studencką;1;32,10 zł;;;;;;   
22.08.2022;Decathlon;Ubrania;Kąpielówki Nabaiji r.38;1;19,99 zł;;;;;;   
22.08.2022;Decathlon;Ubrania;Skarpety RS 500 Artengo 35/38;1;24,99 zł;;;;;;   
25.08.2022;Decathlon;Ubrania;Kąpielówki Nabaiji r.38;1;19,99 zł;;;;;;   
25.08.2022;Decathlon;Ubrania;Skarpety RS 500 Artengo 35/38;1;29,99 zł;;;;;;   
25.08.2022;Obi;Komputer;Złączka RJ45;1;4,49 zł;;;;;;   
04.09.2022;Bełżyce;Żywność;Lody 3 gałki;1;12,00 zł;;3;;;;   
11.09.2022;Książka;Książki;"""Znajdź mieszkanie poniżej wartości rynkowej"" - Filip Kowarski";1;19,00 zł;;;;;;   
15.09.2022;Kaufland;Higiena;Gąbka do ciała;1;2,99 zł;;;;;;   
15.09.2022;Kaufland - Action;Higiena;Elektryczna szczoteczka do zębów OptiSmile;1;44,95 zł;;;;;;   
15.09.2022;Kaufland - Action;Higiena;OptiSmile proszek do wybielania zębów;1;5,45 zł;;;;;;   
15.09.2022;Kaufland - Apteka;Higiena;Elmex żel do fluoryzacji;1;29,90 zł;;;;;;   
15.09.2022;Kaufland - Rossmann;Higiena;FUSSWOHL krem z łoju jelenia;1;7,49 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Kombinerki uniwesalne;1;22,99 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Miarka OBI 5m;1;15,00 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Pensety;1;1,98 zł;;;;;;   
15.09.2022;OBI;Majsterkowanie;Pistolet do kleju na gorąco;2;15,00 zł;;;;;;   
15.09.2022;UAM;Studia;Opłata za legitymację studencką;1;22,00 zł;;;;;;   
21.09.2022;Weterynarz Krzysztof Stachurski;Pies;Szczepienie na wściekliznę;1;45,00 zł;;;;;; Rok wcześniej było 35 
24.09.2022;Action;Zakupy;Deska do krojenia;1;17,95 zł;;;;;;   
24.09.2022;Action;Zakupy;Termos/dzbanek 1L Redstone;1;22,49 zł;;;;;;   
24.09.2022;RTV EURO AGD;Higiena;Elektryczna szczoteczka do zębów Oral-B Pro 1 750 Braun;1;149,00 zł;;;;;;   
29.09.2022;Biedronka;Higiena;Papier Toaletowy;1;12,99 zł;;;;;;   
29.09.2022;Biedronka;Higiena;Patyczki do uszu Be Beauty 200szt;1;2,85 zł;;200;;;;   
29.09.2022;Biedronka;Środki czystości;Ścierka z mikrofibry;1;3,75 zł;;;;;;   
29.09.2022;Biedronka;Środki czystości;Worki na śmieci;1;4,99 zł;;;;;;   
29.09.2022;Jakdojade;Usługi;Doładowanie Jakdojade;1;12,00 zł;;;;;;   
30.09.2022;Bolt;Usługi;Bolt;1;6,76 zł;;;;;;   
01.10.2022;Atos Zoo;Modliszka;Świerszcz + opakowanie;1;0,95 zł;;;;;;   
02.10.2022;Jakdojade;Usługi;Doładowanie Jakdojade;1;21,00 zł;;;;;;   
02.10.2022;K2 Pizzeria;Żywność;Pizza średnia capriciosa (po połowie);1;28,25 zł;;;;;;   
02.10.2022;Żabka;Żywność;Kawa;1;8,99 zł;;;;;;   
03.10.2022;Allegro;Komputer;Organizer do kabli;2;9,90 zł;;;;;;   
03.10.2022;Allegro;Majsterkowanie;Super Glue;1;4,99 zł;;;;;;   
03.10.2022;Allegro;Majsterkowanie;Taśma dwustronna;1;4,95 zł;;;;;;   
03.10.2022;Allegro;Ubrania;Chusta wielofunkcyjna komin bandana elastyczna;1;43,99 zł;;;;;;   
03.10.2022;Allegro;Zakupy;Golarka do ubrań;1;4,89 zł;;;;;;   
03.10.2022;Allegro;Zakupy;Łyżka do butów;1;9,99 zł;;;;;;   
03.10.2022;Allegro;Zakupy;Mata Łazienkowa ;1;38,98 zł;;;;;;   
03.10.2022;Allegro;Żywność;Oregano liść | Brat | 500g;1;15,09 zł;500;;;;;   
03.10.2022;Allegro;Żywność;Sok z Pigwy  300ml;1;4,90 zł;300;;;;;   
03.10.2022;Allegro;Żywność;Suszone banany  Brat 1kg;1;22,29 zł;1000;;;;;   
03.10.2022;Apteka Wrzosowa;Leki;Węgiel Aktywowany Carbo 20 szt;1;17,95 zł;;20;;;;   
03.10.2022;Apteka Wrzosowa;Leki;Woda utleniona;1;2,50 zł;;;;;;   
03.10.2022;Apteka Wrzosowa;Leki;Zestaw plastrów;1;6,95 zł;;;;;;   
03.10.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;1;2,75 zł;550;;;;;   
03.10.2022;Biedronka;Żywność;Makaron Lubella Świderki | 400g;1;4,99 zł;400;;;;;   
04.10.2022;Żabka;Alkohol;Desperados;1;6,20 zł;;;;;;   
05.10.2022;ZTM Poznań;Usługi;Bilet semestralny 150 dni;1;202,00 zł;;150;;;; równoważne 1.35 dziennie (40zł miesięcznie) 
06.10.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;1;2,75 zł;550;;;;;   
06.10.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka L;1;11,99 zł;;10;;;;   
06.10.2022;Biedronka;Żywność;Makaron z kurczakiem | Danie Express | 600g;1;9,99 zł;600;;;;; Niedobre 
06.10.2022;Biedronka;Żywność;Warzywa na patelnię po włosku | Mroźna Kraina 450g;1;4,75 zł;450;;;;; BLE 
06.10.2022;Biedronka;Żywność;Warzywa na patelnię z ziemniakami | Mroźna Kraina 750g;1;5,99 zł;750;;;;; To było smaczne 
06.10.2022;Kaufland;Zakupy;Miska 17cm 900 ml;1;9,99 zł;;;;;;   
06.10.2022;Kaufland;Żywność;Sól Himalajska 250g;1;4,99 zł;250;;;;;   
07.10.2022;Atos Zoo;Modliszka;Świerszcz;1;0,45 zł;;;;;;   
08.10.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;2;6,94 zł;160;18;;;;   
08.10.2022;Biedronka;Żywność;Ser Gouda | Włoszczowa 400g;2;12,94 zł;400;;;;;   
09.10.2022;Allegro;Rower;Lampka Rowerowa Przód i tył (1000lm | 50lm);1;189,00 zł;;;;;;   
10.10.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;2;2,75 zł;550;;;;;   
11.10.2022;Biedronka;Higiena;Żel do Golenia ;1;13,99 zł;200;;;;; W rossmannie taniej (11.29) 
11.10.2022;Biedronka;Żywność;Nudle pomidorowe pikantne 63g | Knor;1;1,99 zł;63;;;;;   
11.10.2022;Biedronka;Żywność;Olej kujawski 1l;1;12,99 zł;1000;;;;;   
11.10.2022;Biedronka;Żywność;Paluszki rybne | 250g;2;6,94 zł;250;;;;;   
11.10.2022;Biedronka;Żywność;Panierowane nuggestsy z piersi z kurczaka | 300g+2x25g;1;9,99 zł;300;;;;;   
11.10.2022;Biedronka;Żywność;Parówki z filetem z kurczaka | Kraina Wędlin | 250g;1;5,42 zł;250;;;;;   
12.10.2022;Wydział;Żywność;Naleśniki z polewą czekoladową;1;9,50 zł;;;;;;   
13.10.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;2;7,99 zł;;10;;;;   
13.10.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;3;6,94 zł;160;18;;;;   
13.10.2022;Biedronka;Żywność;Ser Gouda | Włoszczowa 400g;3;12,94 zł;400;;;;;   
13.10.2022;Office Solution;Usługi;Drukowanie Oświadczenia do umowy zlecenia;1;3,00 zł;;;;;;   
14.10.2022;Atos Zoo;Modliszka;Świerszcz;1;0,45 zł;;;;;;   
14.10.2022;Kaufland;Higiena;Nivea Men - Deep Clean;3;13,99 zł;500;;;;; Zaoszczędziłbym 24 zł 
14.10.2022;Kaufland;Higiena;Nivea Men - Silver Protection;3;13,99 zł;500;;;;; W Hebe są po 9.99!!!!! tak na przyszłość porównuj ceny 
14.10.2022;Kaufland;Żywność;Gotowe danie Meksykańskie | Hortex | 450g;3;9,99 zł;450;;;;; Zajebiście pyszne 
14.10.2022;Kaufland;Żywność;Kisiel w kubku Malinowy | Winiary | 26g;4;1,79 zł;26;;;;;   
14.10.2022;Kaufland;Żywność;Słodka Chwila Budyń Śmietanka  43g;1;1,34 zł;43;;;;; To miała być wanilia XD 
14.10.2022;Kaufland;Żywność;Słodka Chwila Budyń Wanilia  43g;4;1,19 zł;43;;;;;   
14.10.2022;Kaufland;Żywność;Słodka Chwila Kisiel Morela  30g;2;1,19 zł;30;;;;;   
14.10.2022;Kaufland;Żywność;Syrop malinowy  Łowicz 680g;2;7,99 zł;680;;;;;   
14.10.2022;Koleo;Usługi;Bilet na pociąg Poznań-Gniezno;1;8,33 zł;;;;;;   
14.10.2022;Koleo;Usługi;Bilet na pociąg Poznań-Gniezno;1;8,33 zł;;;;;;   
14.10.2022;MarkoweRowery.pl;Rower;Pompka do reweru;1;30,00 zł;;;;;;   
15.10.2022;Hebe;Higiena;Head & Shoulders XXL Classic Clean | Apple Fresh | Citrus Fresh;3;35,99 zł;900;;;;; W biedronce po 27.99 (zaoszczędziłbym 24 zł) 
15.10.2022;K2 Pizzeria;Żywność;Pizza średnia Caorle | pepsi;1;32,00 zł;;;;;; Taka średnia była 
15.10.2022;Lidl;Alkohol;Wódka Adama Mickiewicza 40%;1;29,99 zł;500;;;;;   
16.10.2022;Allegro;Środki czystości;Przepychacz sanitarny;1;23,98 zł;;;;;;   
17.10.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;2;2,75 zł;550;;;;;   
17.10.2022;Biedronka;Żywność;Nudle pomidorowe pikantne 63g | Knor;5;1,99 zł;63;;;;;   
17.10.2022;Biedronka;Żywność;Paluszki rybne z fileta z dorsza | 300g;2;9,99 zł;300;;;;;   
18.10.2022;Allegro;Ubrania;6x majtki, BOKSERKI MĘSKIE BAWEŁNIANE L;1;44,00 zł;;6;;;https://allegro.pl/oferta/6x-bokserki-meskie-bawelniane-l-9925755387;   
18.10.2022;Koleo;Usługi;Bilet na pociąg Gniezno-Poznań;1;8,33 zł;;;;;;   
19.10.2022;Wydział;Żywność;Filet z kurczaka + ziemniaki;1;19,50 zł;;;;;;   
20.10.2022;Biedronka;Energetyki;Energetyk Tiger Bubble Gum 500ml;1;3,80 zł;500;;;;;   
20.10.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;3;8,99 zł;;10;;;;   
20.10.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;3;6,94 zł;160;18;;;;   
20.10.2022;Biedronka;Żywność;Ser Gouda | Włoszczowa 400g;3;12,94 zł;400;;;;;   
20.10.2022;Kaufland - Os. Stefana Batorego;Żywność;Gotowe danie Gyros | Hortex | 450g;1;8,99 zł;450;;;;Potaniało;   
20.10.2022;Kaufland - Winogrady;Żywność;Gotowe danie Meksykańskie | Hortex | 450g;6;8,99 zł;450;;;;Potaniało;   
21.10.2022;Allegro;Ubrania;Szelki do naciągania koszuli;1;49,90 zł;;;;;;   
21.10.2022;Fryzjer;Fryzjer;Strzyżenie r.13 | Amanda Jędrzejewska;1;25,00 zł;;;;;;   
22.10.2022;Karczma u Grzegorza;Żywność;Schabowy z ziemniakami;1;19,50 zł;;;;;;   
22.10.2022;Żabka;Żywność;Lipton 1L;1;5,99 zł;1000;;;;;   
23.10.2022;BILKOM;Usługi;Bilet na pociąg Poznań-Lublin;1;32,90 zł;;;;;;   
24.10.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;4;2,75 zł;550;;;;;   
24.10.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;1;8,99 zł;;10;;;;   
24.10.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;2;6,94 zł;160;18;;;;   
24.10.2022;Wydział;Żywność;Pierogi ruskie;1;9,50 zł;;;;;;   
25.10.2022;Climbing Spot;Wspinaczka;Wejście;1;30,00 zł;;;;;;   
25.10.2022;Office Solution;Usługi;Drukowanie jednej strony;1;0,50 zł;;;;;;   
26.10.2022;Wydział;Żywność;7 Days;1;5,00 zł;;;;;;   
26.10.2022;Wydział;Żywność;Naleśniki z polewą czekoladową;1;9,50 zł;;;;;;   
26.10.2022;Wydział;Żywność;Twix;1;4,00 zł;;;;;;   
27.10.2022;Biedronka;Zakupy;Żel;1;19,99 zł;;;;;;   
29.10.2022;LSS Społem ;Alkohol;Desperados;2;5,39 zł;;;;;;   
29.10.2022;McDonald's ;Żywność;Nuggets;1;15,20 zł;;;;;;   
30.10.2022;McDonald's ;Żywność;Zestaw powiekszony ;1;25,90 zł;;;;;;   
31.10.2022;BILKOM;Usługi;Bilet na pociąg Lublin-Poznań;1;32,90 zł;;;;;;   
31.10.2022;Pelier;Żywność;Pepsi;1;8,00 zł;;;;;;   
31.10.2022;Pelier;Żywność;Pizza + sos;1;31,00 zł;;;;;;   
31.10.2022;Żabka;Żywność;Lipton;1;5,99 zł;;;;;;   
04.11.2022;Allegro;Telefon;Baseus Uchwyt Pierścień Ring Holder do telefonu;1;25,98 zł;;;;;;   
04.11.2022;Allegro;Telefon;ETUI + 2x SZKŁO do Xiaomi Poco X4 GT | KARBON CASE;1;40,00 zł;;;;;;   
04.11.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;1;2,75 zł;550;;;;;   
04.11.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;1;8,99 zł;;10;;;;   
04.11.2022;Climbing Spot;Wspinaczka;Wejście;1;30,00 zł;;;;;;   
04.11.2022;Deluxury;Telefon;Xiaomi POCO X4 GT;1;1 748,00 zł;;;;;https://deluxury.pl/pl/p/Xiaomi-Poco-X4-GT-5G-Dual-Sim-8GB-RAM-128GB-Black/3204;   
04.11.2022;Kaufland;Żywność;Gotowe danie Gyros | Hortex | 450g;2;9,99 zł;450;;;;;   
04.11.2022;Kaufland;Żywność;Gotowe danie Meksykańskie | Hortex | 450g;2;9,99 zł;450;;;;;   
04.11.2022;Kaufland;Żywność;Słodka Chwila Kisiel Jabłko&Gruszka  32g;6;1,27 zł;32;;;;;   
04.11.2022;KIK;Ubrania;Biała Podkoszulka x2;1;30,00 zł;;;;;;   
04.11.2022;Rossmann;Higiena;Szczotka do paznokci;1;3,49 zł;;;;;;   
04.11.2022;Rossmann;Ubrania;Parasolka;1;17,99 zł;;;;;;   
05.11.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;3;6,94 zł;160;18;;;;   
05.11.2022;Biedronka;Żywność;Ser Gouda | Włoszczowa 400g;1;13,99 zł;400;;;;;   
06.11.2022;Stacja Benzynowa;Alkohol;Wódka Adama Mickiewicza 40%;1;39,99 zł;500;;;;;   
07.11.2022;Akademik;Czynsz;Czynsz listopad;1;540,00 zł;;;;;;   
07.11.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;1;2,75 zł;550;;;;;   
07.11.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;2;8,99 zł;;10;;;;   
07.11.2022;Biedronka;Żywność;Olej kujawski 1l;1;12,99 zł;1000;;;;;   
07.11.2022;Kaufland;Żywność;Gotowe danie Meksykańskie | Hortex | 450g;4;9,99 zł;450;;;;;   
08.11.2022;Climbing Spot;Wspinaczka;Wejście;1;30,00 zł;;;;;;   
10.11.2022;Biedronka;Żywność;Chleb pszenno-żytni 550g;1;2,75 zł;550;;;;;   
10.11.2022;Biedronka;Żywność;Fanta 1L;1;5,49 zł;1000;;;;;   
10.11.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;2;8,99 zł;;10;;;;   
10.11.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;4;4,49 zł;160;18;;;Łączny rabat na salami 9.80;   
10.11.2022;Biedronka;Żywność;Ser Gouda | Włoszczowa 400g;3;13,99 zł;400;;;;;   
10.11.2022;Kaufland;Żywność;Bułka czosnkowa;1;2,65 zł;175;;;;;   
10.11.2022;Kaufland;Żywność;Kabanosy Wieprzowe 105g;1;4,49 zł;105;;;;;   
10.11.2022;Wydział;Żywność;Spaghetti;1;11,00 zł;;;;;;   
12.11.2022;Biedronka;Żywność;Chleb tostowy 500g;1;2,99 zł;500;;;;;   
12.11.2022;Biedronka;Żywność;Nudle pomidorowe łagodne 65g | Knor;2;1,99 zł;65;;;;;   
12.11.2022;Biedronka;Żywność;Nudle pomidorowe pikantne 63g | Knor;1;1,99 zł;63;;;;;   
14.11.2022;Kaufland;Higiena;Mydło w płynie Bevola;1;6,49 zł;1000;;;;;   
14.11.2022;Kaufland;Środki czystości;Płyn do prania Perwoll;1;20,99 zł;2880;;;;;   
14.11.2022;Kaufland;Zakupy;Kalkulator prosty;1;9,99 zł;;;;;;   
14.11.2022;Kaufland;Zakupy;Torba Kaufland;1;3,99 zł;;;;;;   
14.11.2022;Kaufland;Żywność;Filet z łososia | EvraFish;1;9,99 zł;94;;;;;   
14.11.2022;Kaufland;Żywność;Gotowe danie Meksykańskie | Hortex | 450g;5;11,99 zł;450;;;;;   
14.11.2022;Kaufland;Żywność;Łosoś w sosie słodkie chili | 110g;1;6,49 zł;110;;;;;   
14.11.2022;Kaufland;Żywność;Oliwa z oliwek najwyższej jakości z pierwszego tłoczenia K-classic 750ml;1;17,99 zł;750;;;;;   
14.11.2022;Kaufland;Żywność;Orzechy Pekan 200g;1;16,19 zł;200;;;;;   
14.11.2022;Pepco;Ubrania;Czapka zimowa;1;20,00 zł;;;;;;   
14.11.2022;Rossmann;Higiena;Listerine płyn do ust;1;22,99 zł;;;;;;   
15.11.2022;Allegro;Zakupy;Zabawki;1;230,60 zł;;;;;;   
15.11.2022;Climbing Spot;Wspinaczka;Wejście;1;30,00 zł;;;;;;   
15.11.2022;Office Solution;Usługi;Drukowanie regulaminu i 3x Umowa rezerwacyjna;1;15,00 zł;;;;;;   
16.11.2022;Biedronka;Higiena;Papier Toaletowy;1;17,59 zł;;;;;;   
16.11.2022;Lokum;Alkohol;Mojito;1;25,00 zł;;;;;;   
17.11.2022;Biedronka;Żywność;Jajka na wolnym wybiegu | Moja Kurka M;3;8,99 zł;;10;;;;   
17.11.2022;Biedronka;Żywność;Salami Klasyczne - Kraina Wędlin 160g;3;6,94 zł;160;18;;;;   
17.11.2022;Biedronka;Żywność;Ser Gouda | Włoszczowa 400g;2;13,99 zł;400;;;;;   
18.11.2022;Fryzjer;Fryzjer;Strzyżenie r.10 | Amanda Jędrzejewska;1;25,00 zł;;;;;;   
18.11.2022;Kaufland;Żywność;Kostka z dzikiego łososia | Abramczyk 500g;2;19,99 zł;500;;;;;   
18.11.2022;Kaufland;Żywność;Orzechy Pekan 200g;2;16,19 zł;200;;;;;   
18.11.2022;Kaufland;Żywność;Rukola 80g;2;4,99 zł;80;;;;;   
18.11.2022;Lokum;Alkohol;Piwo Fortuna Czarne;2;13,00 zł;;;;;Spłacone 13 z 14 zł;   
18.11.2022;Rossmann;Higiena;Krem do rąk Isana Med 100ml;1;8,49 zł;100;;;;;   
18.11.2022;Sinsay;Ubrania;Szalik;1;39,99 zł;;;;;;   
19.11.2022;D-Lickcious;Żywność;D-Waffle;1;13,50 zł;;;;;;   
19.11.2022;Kaufland;Żywność;Chicken Nuggets | Tender 500g;1;15,99 zł;500;;;;;   
19.11.2022;Kaufland;Żywność;Gotowe danie Gyros | Hortex | 450g;1;11,99 zł;450;;;;;   
19.11.2022;Kaufland;Żywność;Kurczak z ryżem po meksykańsku | Frosta | 450g;1;12,99 zł;450;;;;Może być;   
19.11.2022;Kaufland;Żywność;Roślinny kurczak z kaszą i warzywami | Hortex | 400g;1;10,99 zł;400;;;;;   
22.11.2022;Allegro;Telefon;Baseus kabel USB-C Typ C Quick Charge 3.0 2A 200cm;1;23,38 zł;;;;;;   
22.11.2022;Climbing Spot;Wspinaczka;Wejście;1;30,00 zł;;;;;;   
